"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 13 10:31:28 IST 2024","Mon May 13 10:31:28 IST 2024","1","Surefire suite","Surefire test","skillbox.EventBookTest.DonationEventBookTest","skillbox.EventBookTest.DonationEventBookTest","donationeventbook","donationeventbook",""
"broken","Mon May 13 10:28:20 IST 2024","Mon May 13 10:28:20 IST 2024","2","Surefire suite","Surefire test","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","bcConfig","bcConfig",""
"broken","Mon May 13 10:34:09 IST 2024","Mon May 13 10:34:09 IST 2024","0","Surefire suite","Surefire test","skillbox.EventListTest.EventListTest","skillbox.EventListTest.EventListTest","bcConfig","bcConfig",""
"broken","Mon May 13 10:29:53 IST 2024","Mon May 13 10:29:54 IST 2024","1143","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","audio","audio",""
"broken","Mon May 13 10:31:28 IST 2024","Mon May 13 10:31:28 IST 2024","1","Surefire suite","Surefire test","skillbox.EventBookTest.DonationEventBookTest","skillbox.EventBookTest.DonationEventBookTest","bcConfig","bcConfig",""
"skipped","Mon May 13 10:29:12 IST 2024","Mon May 13 10:29:12 IST 2024","1","Surefire suite","Surefire test","skillbox.ManageSalesTest.ManageSalesTest","skillbox.ManageSalesTest.ManageSalesTest","text","text",""
"skipped","Mon May 13 10:30:30 IST 2024","Mon May 13 10:30:30 IST 2024","1","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","signupb","signupb",""
"broken","Mon May 13 10:30:16 IST 2024","Mon May 13 10:30:16 IST 2024","0","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","bcConfig","bcConfig",""
"skipped","Mon May 13 10:30:45 IST 2024","Mon May 13 10:30:45 IST 2024","1","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","signua","signua",""
"broken","Mon May 13 10:28:30 IST 2024","Mon May 13 10:28:58 IST 2024","28302","Surefire suite","Surefire test","skillbox.ProfileMediaUploadTest.ProfileUploadTest","skillbox.ProfileMediaUploadTest.ProfileUploadTest","profileUpload","profileUpload",""
"broken","Mon May 13 10:31:13 IST 2024","Mon May 13 10:31:13 IST 2024","0","Surefire suite","Surefire test","skillbox.EventBookTest.FreeEventBookTest","skillbox.EventBookTest.FreeEventBookTest","bcConfig","bcConfig",""
"skipped","Mon May 13 10:30:59 IST 2024","Mon May 13 10:30:59 IST 2024","1","Surefire suite","Surefire test","skillbox.CreateDiyTest.CreateDiyTest","skillbox.CreateDiyTest.CreateDiyTest","creatediy","creatediy",""
"skipped","Mon May 13 10:34:09 IST 2024","Mon May 13 10:34:09 IST 2024","1","Surefire suite","Surefire test","skillbox.EventListTest.EventListTest","skillbox.EventListTest.EventListTest","categoryFilter","categoryFilter",""
"skipped","Mon May 13 10:31:14 IST 2024","Mon May 13 10:31:14 IST 2024","1","Surefire suite","Surefire test","skillbox.EventBookTest.FreeEventBookTest","skillbox.EventBookTest.FreeEventBookTest","freeticketbook","freeticketbook",""
"broken","Mon May 13 10:29:54 IST 2024","Mon May 13 10:29:55 IST 2024","1145","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","video","video",""
"broken","Mon May 13 10:30:59 IST 2024","Mon May 13 10:30:59 IST 2024","1","Surefire suite","Surefire test","skillbox.CreateDiyTest.CreateDiyTest","skillbox.CreateDiyTest.CreateDiyTest","bcConfig","bcConfig",""
"broken","Mon May 13 10:32:18 IST 2024","Mon May 13 10:32:18 IST 2024","0","Surefire suite","Surefire test","skillbox.EventBookTest.PaidEventBookTest","skillbox.EventBookTest.PaidEventBookTest","bcConfig","bcConfig",""
